#CONTENT
Class,Category,Level,Form
WOUDC,OzoneSonde,1.0,1

#DATA_GENERATION
Date,Agency,Version,ScientificAuthority
2014-01-28,MeteoSwiss,1.1,rene.stubi@meteosuisse.ch

#PLATFORM
Type,ID,Name,Country,GAW_ID
STN,156,Payerne,CHE

#INSTRUMENT
Name,Model,Number
ECC,2Z,23619

#LOCATION
Latitude,Longitude,Height
46.49,6.57,491

#TIMESTAMP
UTCOffset,Date,Time
00:00:00,2013-08-14,11:00:00

#FLIGHT_SUMMARY
IntegratedO3,CorrectionCode,SondeTotalO3,CorrectionFactor,TotalO3,WLCode,ObsType,Instrument,Number
275.88,3,314.43,-1.029,323.55,0,DS,Dobson,101
* TotalO3 = Dobson value for Arosa + integratedO3 Payerne to Arosa

#AUXILIARY_DATA
MeteoSonde,ib1,ib2,PumpRate,BackgroundCorr,SampleTemperatureType,MinutesgroundO3
SRS-400,0.049,0.068,27.6,Constant_ib2,pump

#PUMP_CORRECTION
Pressure,Correction
1000.0,1.000
200.0,1.0000
150.0,1.002
100.0,1.007
70.0,1.013
50.0,1.018
30.0,1.029
20.0,1.041
15.0,1.048
10.0,1.066
7.0,1.087
5.0,1.124
3.0,1.240
* [hPa], [mPa],  [oC],[m/s],[Deg],[],[s],[m],   [%],[C]
453.57,3.042,-15.58,14.9,299,0,1110,6525,20.76,32.42
452.46,3.019,-15.71,14.4,299,0,1113,6544,21.00,32.43
451.34,3.000,-15.93,14.4,299,0,1116,6563,21.31,32.40
450.19,2.982,-16.12,14.4,300,0,1119,6582,21.67,32.42
449.16,2.962,-16.29,14.4,300,0,1122,6599,22.06,32.39
448.11,2.942,-16.35,14.4,300,0,1125,6617,22.44,32.44
446.96,2.921,-16.63,14.4,301,0,1128,6636,22.74,32.40
445.74,2.902,-16.82,14.4,301,0,1131,6656,22.91,32.40
444.58,2.884,-17.01,14.4,302,0,1134,6676,22.82,32.40
443.43,2.869,-17.20,14.4,302,0,1137,6695,22.34,32.40
442.18,2.855,-17.32,14.4,303,0,1140,6716,21.34,32.38
441.12,2.843,-17.61,14.4,303,0,1143,6734,19.77,32.36
440.04,2.832,-17.77,14.4,304,0,1146,6753,17.57,32.36
438.88,2.824,-17.89,14.4,305,0,1149,6772,14.84,32.35
437.59,2.821,-18.07,14.4,306,0,1152,6795,11.67,32.35
436.51,2.823,-18.14,14.4,307,0,1155,6813,8.38,32.38
435.53,2.829,-18.28,14.4,308,0,1158,6830,5.27,32.36
434.46,2.837,-18.36,14.4,310,0,1161,6848,2.65,32.35
433.17,2.846,-18.45,14.4,310,0,1164,6870,1.00,32.36
432.21,2.855,-18.59,14.4,311,0,1167,6887,1.00,32.36
431.26,2.864,-18.71,14.4,310,0,1170,6903,1.00,32.34
430.43,2.872,-18.76,14.4,310,0,1173,6918,1.00,32.33
429.42,2.877,-18.87,13.9,309,0,1176,6935,2.00,32.32
428.31,2.878,-18.94,13.9,308,0,1179,6954,4.01,32.31
427.40,2.876,-19.01,13.4,306,0,1182,6970,6.28,32.28
426.39,2.870,-19.19,13.4,306,0,1185,6988,8.59,32.25
425.16,2.864,-19.25,13.4,305,0,1188,7009,10.77,32.31
424.13,2.860,-19.37,12.9,305,0,1191,7027,12.65,32.29
423.00,2.861,-19.52,12.9,306,0,1194,7047,14.16,32.32
421.99,2.869,-19.67,12.9,306,0,1197,7065,15.26,32.33
420.84,2.879,-19.91,12.9,306,0,1200,7085,16.04,32.26
419.56,2.891,-20.07,12.9,306,0,1203,7107,16.53,32.25
418.35,2.901,-20.23,12.9,305,0,1206,7129,16.85,32.26
417.05,2.908,-20.46,12.9,304,0,1209,7152,17.04,32.27
415.98,2.909,-20.64,13.4,303,0,1212,7171,17.18,32.22
415.08,2.907,-20.77,13.4,303,0,1215,7187,17.30,32.22
414.06,2.901,-20.89,13.4,303,0,1218,7205,17.42,32.25
412.78,2.894,-21.13,13.4,303,0,1221,7228,17.54,32.22
411.79,2.886,-21.31,13.4,304,0,1224,7246,17.67,32.19
410.79,2.879,-21.46,13.4,305,0,1227,7264,17.80,32.17
409.76,2.869,-21.60,13.4,305,0,1230,7282,17.96,32.18
408.60,2.855,-21.77,13.4,306,0,1233,7303,18.16,32.15
407.79,2.839,-21.91,13.4,306,0,1236,7318,18.42,32.14
406.78,2.820,-22.12,13.9,306,0,1239,7336,18.77,32.18
405.79,2.804,-22.18,13.9,305,0,1242,7354,19.19,32.15
404.86,2.791,-22.38,14.4,304,0,1245,7371,19.69,32.13
403.96,2.782,-22.53,14.4,303,0,1248,7387,20.29,32.11
403.11,2.777,-22.69,14.4,303,0,1251,7402,20.99,32.09
402.07,2.772,-22.95,13.9,302,0,1254,7421,21.77,32.09
401.01,2.765,-23.16,13.9,302,0,1257,7441,22.63,32.09
400.00,2.756,-23.26,13.9,302,0,1260,7459,23.73,32.08
399.28,2.744,-23.41,13.9,302,0,1263,7472,24.58,32.10
398.23,2.732,-23.61,13.9,302,0,1266,7492,25.64,32.09
396.91,2.722,-23.84,13.9,302,0,1269,7516,26.78,32.08
395.69,2.716,-23.96,13.9,302,0,1272,7538,28.00,32.04
394.97,2.714,-24.09,13.9,303,0,1275,7552,29.30,32.06
394.09,2.714,-24.27,13.9,304,0,1278,7568,30.67,32.04
393.18,2.712,-24.41,13.9,304,0,1281,7585,32.06,32.04
392.18,2.707,-24.57,13.9,306,0,1284,7603,33.40,32.04
391.19,2.701,-24.74,13.9,307,0,1287,7622,34.63,32.04
390.28,2.693,-24.81,13.9,308,0,1290,7639,35.68,32.03
389.10,2.687,-25.14,14.4,309,0,1293,7660,36.54,31.97
388.06,2.682,-25.30,14.9,310,0,1296,7680,37.19,31.99
387.07,2.678,-25.55,14.9,310,0,1299,7698,37.60,31.96
386.09,2.676,-25.69,15.4,309,0,1302,7717,37.81,31.94
384.96,2.675,-25.82,15.4,309,0,1305,7738,37.72,31.96
384.01,2.675,-25.97,15.4,307,0,1308,7756,37.28,31.94
383.03,2.675,-26.14,15.4,306,0,1311,7775,36.36,31.91
381.99,2.674,-26.28,15.9,305,0,1314,7794,35.00,31.95
381.00,2.672,-26.46,15.9,304,0,1317,7813,33.20,31.93
380.03,2.670,-26.63,15.9,304,0,1320,7831,31.03,31.90
378.82,2.668,-26.79,15.9,304,0,1323,7854,28.71,31.93
377.62,2.668,-26.78,15.9,304,0,1326,7877,26.47,31.92
376.58,2.671,-26.87,15.9,305,0,1329,7897,24.52,31.89
375.78,2.678,-27.04,15.4,305,0,1332,7912,23.00,31.85
374.81,2.687,-27.13,15.4,305,0,1335,7931,22.01,31.87
373.91,2.697,-27.29,15.4,306,0,1338,7948,21.42,31.87
372.89,2.705,-27.41,15.9,306,0,1341,7968,21.26,31.86
371.88,2.709,-27.53,15.9,306,0,1344,7988,21.39,31.81
370.81,2.712,-27.74,15.9,307,0,1347,8008,21.70,31.88
369.74,2.714,-27.87,15.9,307,0,1350,8029,22.08,31.84
368.76,2.713,-28.06,15.9,308,0,1353,8048,22.47,31.82
367.78,2.710,-28.20,16.4,309,0,1356,8067,22.82,31.80
366.91,2.705,-28.30,16.4,310,0,1359,8084,23.12,31.79
366.06,2.698,-28.54,17.0,310,0,1362,8101,23.43,31.79
365.10,2.692,-28.66,17.5,310,0,1365,8119,23.80,31.77
364.34,2.687,-28.72,18.0,308,0,1368,8134,24.28,31.74
363.52,2.686,-28.92,18.0,307,0,1371,8151,24.90,31.72
362.74,2.686,-29.01,18.0,306,0,1374,8166,25.63,31.70
361.78,2.685,-29.20,17.5,306,0,1377,8185,26.45,31.74
360.78,2.684,-29.38,17.5,306,0,1380,8205,27.34,31.70
359.78,2.683,-29.50,17.5,306,0,1383,8224,28.26,31.70
358.74,2.682,-29.71,18.0,306,0,1386,8245,29.19,31.69
357.78,2.682,-29.90,18.0,305,0,1389,8264,30.10,31.66
356.93,2.681,-30.00,18.5,305,0,1392,8281,30.94,31.64
356.05,2.678,-30.17,19.0,304,0,1395,8299,31.66,31.64
355.28,2.675,-30.22,19.0,304,0,1398,8314,32.24,31.67
354.35,2.672,-30.39,19.0,304,0,1401,8333,32.65,31.64
353.41,2.668,-30.52,19.0,304,0,1404,8352,32.96,31.56
352.27,2.663,-30.79,19.5,304,0,1407,8375,33.18,31.59
351.31,2.655,-30.96,19.5,305,0,1410,8394,33.35,31.60
350.42,2.641,-31.08,20.0,305,0,1413,8412,33.49,31.58
349.53,2.623,-31.21,20.0,305,0,1416,8430,33.56,31.54
348.57,2.599,-31.40,20.0,305,0,1419,8449,33.51,31.55
347.39,2.574,-31.53,20.0,306,0,1422,8473,33.28,31.59
346.59,2.553,-31.70,20.0,306,0,1425,8490,32.83,31.54
345.89,2.539,-31.79,19.5,306,0,1428,8504,32.09,31.54
345.36,2.534,-31.89,19.5,306,0,1431,8515,31.07,31.53
344.78,2.535,-32.00,19.5,305,0,1434,8527,29.84,31.52
344.07,2.539,-32.04,19.5,305,0,1437,8541,28.48,31.51
343.28,2.545,-32.22,19.5,304,0,1440,8557,27.15,31.48
342.35,2.550,-32.39,19.0,304,0,1443,8577,26.04,31.48
341.41,2.554,-32.61,19.0,304,0,1446,8596,25.24,31.47
340.33,2.557,-32.72,19.0,303,0,1449,8618,24.90,31.43
339.42,2.558,-32.89,19.0,303,0,1452,8637,25.01,31.42
338.65,2.556,-32.96,19.0,302,0,1455,8653,25.47,31.41
337.68,2.552,-33.15,19.0,301,0,1458,8673,26.12,31.42
336.71,2.546,-33.34,19.5,300,0,1461,8693,26.85,31.40
335.92,2.541,-33.53,19.5,300,0,1464,8710,27.57,31.38
335.06,2.537,-33.70,19.5,299,0,1467,8728,28.34,31.36
334.18,2.536,-33.82,19.5,299,0,1470,8746,29.22,31.39
333.10,2.538,-34.09,19.0,299,0,1473,8769,30.29,31.34
332.15,2.542,-34.21,19.0,299,0,1476,8789,31.59,31.37
331.39,2.548,-34.34,18.5,299,0,1479,8805,33.01,31.35
330.79,2.553,-34.54,18.0,300,0,1482,8818,34.40,31.32
330.02,2.557,-34.69,18.0,301,0,1485,8834,35.59,31.33
329.04,2.559,-34.86,18.5,302,0,1488,8855,36.38,31.32
328.04,2.561,-35.08,18.5,303,0,1491,8876,36.72,31.29
327.10,2.564,-35.25,18.5,303,0,1494,8896,36.67,31.26
326.16,2.569,-35.43,19.0,303,0,1497,8916,36.21,31.25
325.32,2.571,-35.61,19.0,304,0,1500,8934,35.47,31.26
324.56,2.570,-35.77,19.5,304,0,1503,8950,34.64,31.24
323.50,2.564,-35.97,19.5,304,0,1506,8973,33.84,31.20
322.54,2.552,-36.11,20.0,303,0,1509,8993,33.29,31.24
321.43,2.537,-36.34,20.6,303,0,1512,9017,33.15,31.18
320.33,2.523,-36.47,20.6,302,0,1515,9041,33.51,31.20
319.37,2.509,-36.54,21.1,302,0,1518,9062,34.49,31.22
318.37,2.496,-36.75,21.6,302,0,1521,9084,36.04,31.19
317.45,2.479,-36.88,21.6,302,0,1524,9103,37.99,31.12
316.33,2.458,-37.11,22.1,303,0,1527,9128,40.15,31.12
315.47,2.430,-37.31,22.1,303,0,1530,9147,42.23,31.16
314.58,2.397,-37.47,22.1,302,0,1533,9166,43.89,31.10
313.85,2.364,-37.59,22.6,302,0,1536,9182,44.91,31.09
313.20,2.335,-37.72,22.1,302,0,1539,9196,44.96,31.11
312.70,2.312,-37.84,22.1,302,0,1542,9208,43.97,31.03
312.10,2.294,-37.90,22.1,302,0,1545,9221,42.25,31.02
311.48,2.280,-38.08,22.1,303,0,1548,9235,40.01,31.01
310.74,2.266,-38.22,22.1,303,0,1551,9251,37.72,31.05
309.91,2.255,-38.38,22.1,304,0,1554,9269,35.82,30.99
309.08,2.244,-38.46,22.1,304,0,1557,9288,34.50,30.98
308.27,2.234,-38.59,22.6,304,0,1560,9306,33.95,30.98
307.45,2.226,-38.78,23.1,304,0,1563,9324,34.07,30.98
306.64,2.220,-38.90,23.1,304,0,1566,9342,34.61,30.95
305.70,2.217,-39.20,23.1,304,0,1569,9363,35.42,30.94
304.56,2.216,-39.36,22.6,304,0,1572,9389,36.22,30.91
303.63,2.218,-39.53,22.1,304,0,1575,9410,36.77,30.90
302.83,2.223,-39.65,22.1,303,0,1578,9428,36.86,30.86
302.01,2.228,-39.81,21.6,303,0,1581,9446,36.28,30.87
301.04,2.235,-39.95,22.1,303,0,1584,9468,35.09,30.88
300.00,2.240,-40.17,22.1,302,1,1587,9492,33.45,30.85
299.06,2.242,-40.44,22.1,302,0,1590,9513,32.35,30.80
297.98,2.239,-40.65,22.1,302,0,1593,9538,31.74,30.80
297.05,2.235,-40.85,22.1,302,0,1596,9559,31.98,30.80
296.42,2.231,-40.90,22.1,302,0,1599,9574,33.04,30.82
295.85,2.231,-41.02,22.1,302,0,1602,9587,34.69,30.80
295.23,2.235,-41.22,22.1,302,0,1605,9601,36.39,30.79
294.64,2.244,-41.30,21.6,302,0,1608,9615,37.81,30.77
293.98,2.254,-41.48,21.6,302,0,1611,9630,38.72,30.74
293.05,2.263,-41.69,21.6,301,0,1614,9651,39.15,30.72
292.05,2.272,-41.94,21.6,301,0,1617,9674,39.32,30.72
291.24,2.277,-42.11,21.6,300,0,1620,9693,39.36,30.72
290.27,2.277,-42.30,21.6,300,0,1623,9715,39.40,30.65
289.42,2.270,-42.40,21.6,299,0,1626,9735,39.42,30.67
288.45,2.260,-42.65,21.1,297,0,1629,9758,39.40,30.66
287.45,2.251,-42.85,21.1,297,0,1632,9781,39.22,30.64
286.83,2.244,-42.94,21.1,296,0,1635,9796,38.82,30.67
286.33,2.242,-43.07,21.1,296,0,1638,9808,38.22,30.63
285.72,2.244,-43.18,21.1,297,0,1641,9822,37.47,30.62
285.14,2.247,-43.35,21.1,298,0,1644,9836,36.78,30.60
284.60,2.250,-43.44,21.1,299,0,1647,9849,36.38,30.54
283.95,2.251,-43.57,20.6,300,0,1650,9864,36.42,30.58
283.14,2.251,-43.77,20.6,301,0,1653,9883,37.10,30.54
282.37,2.251,-43.89,20.6,302,0,1656,9902,38.33,30.50
281.45,2.250,-44.12,20.6,302,0,1659,9923,39.79,30.53
280.66,2.249,-44.30,21.1,302,0,1662,9942,41.15,30.48
279.76,2.247,-44.44,21.6,301,0,1665,9964,41.97,30.47
278.99,2.244,-44.58,22.1,301,0,1668,9982,41.94,30.54
278.18,2.243,-44.88,22.1,300,0,1671,10002,41.15,30.46
277.52,2.244,-45.02,22.6,299,0,1674,10018,39.67,30.43
276.91,2.246,-45.08,22.6,299,0,1677,10032,37.97,30.45
276.24,2.248,-45.22,22.1,298,0,1680,10048,36.54,30.42
275.56,2.246,-45.31,21.6,298,0,1683,10065,35.69,30.42
274.91,2.242,-45.40,21.1,298,0,1686,10081,35.72,30.42
274.17,2.236,-45.77,21.1,299,0,1689,10099,36.35,30.36
273.37,2.231,-45.83,21.1,300,0,1692,10118,37.46,30.35
272.60,2.231,-46.03,21.1,301,0,1695,10137,38.72,30.41
271.58,2.234,-46.21,21.1,301,0,1698,10161,39.75,30.35
270.73,2.238,-46.32,20.6,300,0,1701,10183,40.38,30.34
269.94,2.242,-46.53,20.6,300,0,1704,10202,40.27,30.33
269.17,2.246,-46.76,20.6,300,0,1707,10221,39.81,30.30
268.36,2.250,-46.78,20.6,300,0,1710,10241,38.79,30.29
267.47,2.254,-47.02,20.0,301,0,1713,10263,37.47,30.25
266.61,2.258,-47.18,20.0,302,0,1716,10284,36.11,30.24
265.74,2.258,-47.35,20.0,302,0,1719,10306,34.92,30.23
264.77,2.252,-47.42,20.0,303,0,1722,10330,34.03,30.23
263.83,2.240,-47.60,20.0,303,0,1725,10353,33.54,30.21
262.86,2.224,-47.81,19.5,303,0,1728,10378,33.39,30.20
262.12,2.208,-48.04,19.5,303,0,1731,10396,33.56,30.19
261.20,2.193,-48.10,19.5,303,0,1734,10419,33.97,30.15
260.47,2.184,-48.18,19.5,303,0,1737,10438,34.57,30.16
259.61,2.177,-48.30,19.5,302,0,1740,10460,35.29,30.16
258.83,2.174,-48.47,20.0,301,0,1743,10480,36.02,30.08
258.02,2.176,-48.54,20.0,301,0,1746,10500,36.68,30.09
257.18,2.181,-48.74,20.6,300,0,1749,10521,37.11,30.08
256.27,2.192,-48.83,20.6,300,0,1752,10545,37.24,30.05
255.49,2.208,-49.02,20.6,300,0,1755,10565,37.04,30.05
254.57,2.228,-49.11,21.1,299,0,1758,10588,36.59,30.06
253.72,2.250,-49.27,21.1,299,0,1761,10610,35.90,30.02
252.90,2.268,-49.49,21.1,299,0,1764,10631,35.18,29.98
252.01,2.281,-49.61,21.1,298,0,1767,10655,34.49,29.99
251.04,2.290,-49.83,20.6,298,0,1770,10680,33.95,29.95
250.00,2.296,-49.80,20.6,298,0,1773,10707,33.51,29.95
249.29,2.306,-49.92,20.6,298,0,1776,10726,33.31,29.93
248.75,2.319,-50.12,20.6,299,0,1779,10740,33.21,29.90
247.94,2.333,-50.31,20.6,300,0,1782,10761,33.20,29.90
246.94,2.347,-50.57,20.6,301,0,1785,10787,33.25,29.86
246.22,2.360,-50.68,20.6,302,0,1788,10806,33.35,29.85
245.60,2.371,-50.88,20.6,303,0,1791,10823,33.47,29.86
244.93,2.380,-51.04,20.6,303,0,1794,10840,33.64,29.84
244.27,2.386,-51.27,20.6,302,0,1797,10858,33.81,29.83
243.44,2.386,-51.41,20.6,300,0,1800,10880,33.97,29.77
242.65,2.382,-51.60,20.6,299,0,1803,10901,34.14,29.78
241.66,2.375,-51.80,20.6,297,0,1806,10928,34.24,29.78
240.80,2.366,-51.90,20.6,297,0,1809,10951,34.28,29.75
240.11,2.354,-51.93,20.6,296,0,1812,10969,34.25,29.74
239.60,2.336,-51.88,20.6,296,0,1815,10983,34.15,29.72
239.08,2.314,-51.86,20.6,297,0,1818,10997,34.00,29.68
238.63,2.288,-51.89,20.6,297,0,1821,11010,33.84,29.69
238.11,2.259,-51.95,20.6,297,0,1824,11024,33.70,29.73
237.62,2.233,-52.03,20.6,297,0,1827,11037,33.61,29.64
237.14,2.207,-52.17,20.6,296,0,1830,11050,33.56,29.68
236.65,2.182,-52.30,20.6,296,0,1833,11064,33.54,29.64
236.13,2.155,-52.50,21.1,295,0,1836,11078,33.51,29.62
235.61,2.125,-52.47,21.1,295,0,1839,11092,33.44,29.59
235.05,2.095,-52.40,21.1,294,0,1842,11107,33.29,29.58
234.52,2.065,-52.53,21.1,294,0,1845,11122,33.07,29.59
234.02,2.038,-52.53,21.1,294,0,1848,11136,32.78,29.54
233.52,2.012,-52.54,21.1,294,0,1851,11150,32.46,29.49
233.04,1.985,-52.54,21.1,295,0,1854,11163,32.13,29.51
232.47,1.960,-52.71,21.6,295,0,1857,11179,31.81,29.51
231.98,1.934,-52.75,21.6,295,0,1860,11192,31.52,29.50
231.46,1.910,-52.91,21.6,296,0,1863,11207,31.24,29.48
230.94,1.886,-52.96,21.1,298,0,1866,11221,30.95,29.43
230.46,1.865,-53.02,21.1,299,0,1869,11235,30.63,29.43
229.75,1.845,-53.13,21.1,300,0,1872,11254,30.27,29.39
229.02,1.828,-53.08,21.1,301,0,1875,11275,29.89,29.38
228.39,1.813,-53.18,20.6,302,0,1878,11293,29.48,29.41
227.60,1.803,-53.26,20.6,302,0,1881,11315,29.08,29.38
226.67,1.794,-53.37,20.6,301,0,1884,11341,28.71,29.36
225.77,1.786,-53.55,20.6,302,0,1887,11367,28.38,29.37
225.02,1.776,-53.66,20.6,302,0,1890,11388,28.13,29.28
224.25,1.761,-53.78,20.6,303,0,1893,11410,27.94,29.31
223.36,1.744,-53.83,20.6,304,0,1896,11436,27.82,29.32
222.65,1.729,-54.06,20.6,304,0,1899,11456,27.77,29.29
222.22,1.717,-54.09,20.6,305,0,1902,11469,27.75,29.29
221.68,1.711,-54.21,20.6,304,0,1905,11484,27.76,29.25
221.22,1.710,-54.14,20.6,304,0,1908,11498,27.77,29.25
220.78,1.714,-54.35,20.0,303,0,1911,11510,27.77,29.22
220.36,1.722,-54.41,20.0,303,0,1914,11523,27.74,29.22
219.95,1.732,-54.57,19.5,303,0,1917,11534,27.68,29.17
219.54,1.743,-54.70,19.5,302,0,1920,11546,27.61,29.19
219.16,1.756,-54.69,19.0,302,0,1923,11558,27.52,29.17
218.70,1.770,-54.89,19.0,302,0,1926,11571,27.42,29.14
218.14,1.784,-54.95,19.0,301,0,1929,11587,27.33,29.14
217.38,1.802,-55.21,19.0,301,0,1932,11610,27.25,29.11
216.66,1.822,-55.38,19.0,301,0,1935,11631,27.18,29.08
215.88,1.847,-55.43,19.0,300,0,1938,11654,27.09,29.09
215.30,1.878,-55.59,19.0,300,0,1941,11671,26.99,29.09
214.80,1.912,-55.73,19.0,299,0,1944,11686,26.84,29.03
214.28,1.949,-55.69,19.0,297,0,1947,11701,26.65,29.08
213.75,1.994,-55.74,19.0,295,0,1950,11717,26.41,29.02
213.18,2.044,-55.75,19.0,294,0,1953,11734,26.14,29.04
212.50,2.101,-55.80,19.0,292,0,1956,11754,25.86,29.03
211.96,2.164,-55.79,19.0,291,0,1959,11770,25.59,29.02
211.52,2.229,-56.00,19.0,291,0,1962,11784,25.37,28.99
211.01,2.291,-56.00,19.0,291,0,1965,11799,25.18,28.98
210.53,2.346,-56.01,19.0,291,0,1968,11814,25.04,28.94
210.04,2.394,-55.96,19.0,292,0,1971,11828,24.92,28.96
209.55,2.435,-55.96,19.0,292,0,1974,11843,24.80,28.95
209.09,2.474,-56.00,19.0,293,0,1977,11857,24.67,28.90
208.69,2.511,-56.03,19.0,293,0,1980,11869,24.52,28.89
208.23,2.545,-56.15,19.5,293,0,1983,11883,24.35,28.90
207.75,2.576,-56.18,19.5,293,0,1986,11898,24.18,28.89
207.38,2.603,-56.16,19.5,293,0,1989,11909,24.03,28.85
206.96,2.624,-56.23,19.5,293,0,1992,11922,23.92,28.84
206.52,2.639,-56.26,19.5,292,0,1995,11936,23.87,28.82
206.14,2.648,-56.39,19.5,292,0,1998,11947,23.89,28.82
205.75,2.652,-56.36,19.5,291,0,2001,11959,23.96,28.82
205.32,2.651,-56.52,19.5,291,0,2004,11973,24.09,28.78
204.99,2.648,-56.48,19.5,291,0,2007,11983,24.24,28.80
204.59,2.645,-56.59,20.0,291,0,2010,11995,24.35,28.80
204.11,2.642,-56.72,20.0,291,0,2013,12010,24.39,28.77
203.65,2.639,-56.87,20.6,291,0,2016,12024,24.35,28.75
203.16,2.636,-56.91,20.6,292,0,2019,12040,24.20,28.74
202.45,2.636,-56.98,21.1,292,0,2022,12062,23.97,28.73
201.70,2.639,-56.95,21.6,293,0,2025,12085,23.70,28.70
201.19,2.647,-56.97,21.6,293,0,2028,12101,23.40,28.66
200.83,2.657,-56.85,21.6,293,0,2031,12113,23.13,28.70
200.43,2.664,-56.78,21.6,293,0,2034,12125,22.90,28.67
200.00,2.668,-56.88,21.6,292,1,2037,12139,22.72,28.63
199.64,2.671,-56.94,21.6,292,0,2040,12150,,28.65
199.25,2.678,-56.98,21.6,292,0,2043,12163,,28.66
198.81,2.690,-56.94,21.6,292,0,2046,12177,,28.61
198.40,2.707,-56.98,21.6,292,0,2049,12190,,28.60
198.00,2.721,-57.04,21.6,293,0,2052,12203,,28.61
197.58,2.735,-57.11,21.6,293,0,2055,12216,,28.61
197.14,2.746,-57.04,22.1,293,0,2058,12230,,28.57
196.67,2.761,-56.96,22.1,293,0,2061,12245,,28.55
196.16,2.784,-56.93,22.1,293,0,2064,12262,,28.53
195.76,2.818,-56.56,22.1,293,0,2067,12274,,28.51
195.31,2.861,-56.43,22.1,294,0,2070,12289,,28.50
194.98,2.908,-56.43,22.1,294,0,2073,12300,,28.49
194.53,2.953,-56.09,22.1,295,0,2076,12314,,28.50
194.17,2.996,-56.03,22.1,296,0,2079,12326,,28.50
193.76,3.038,-56.08,22.1,297,0,2082,12340,,28.41
193.36,3.080,-55.80,22.1,298,0,2085,12353,,28.45
193.00,3.122,-55.81,22.1,298,0,2088,12365,,28.41
192.63,3.164,-55.72,22.1,299,0,2091,12377,,28.43
192.23,3.202,-55.57,22.1,300,0,2094,12390,,28.40
191.74,3.234,-55.45,21.6,300,0,2097,12406,,28.35
191.36,3.259,-55.28,21.6,301,0,2100,12419,,28.40
190.90,3.282,-55.22,21.1,302,0,2103,12435,,28.37
190.49,3.302,-55.25,20.6,303,0,2106,12448,,28.31
190.13,3.324,-55.43,20.0,304,0,2109,12460,,28.31
189.75,3.348,-55.52,19.5,304,0,2112,12473,,28.33
189.34,3.374,-55.43,19.0,305,0,2115,12487,,28.31
188.95,3.403,-55.55,19.0,305,0,2118,12500,,28.24
188.62,3.433,-55.53,18.5,305,0,2121,12511,,28.26
188.23,3.466,-55.38,18.5,305,0,2124,12524,,28.23
187.88,3.498,-55.34,18.0,304,0,2127,12536,,28.26
187.53,3.533,-55.45,18.0,303,0,2130,12548,,28.22
187.17,3.569,-55.63,18.0,303,0,2133,12560,,28.15
186.77,3.607,-55.29,18.0,302,0,2136,12574,,28.20
186.36,3.646,-54.95,18.0,301,0,2139,12588,,28.16
185.97,3.681,-54.99,18.0,299,0,2142,12601,,28.13
185.56,3.713,-54.87,17.5,298,0,2145,12615,,28.12
185.20,3.741,-54.95,17.5,297,0,2148,12628,,28.11
184.81,3.766,-54.97,17.5,295,0,2151,12641,,28.07
184.41,3.792,-55.14,17.5,294,0,2154,12655,,28.06
184.02,3.821,-55.00,17.5,293,0,2157,12669,,28.03
183.68,3.853,-55.09,17.5,292,0,2160,12680,,27.98
183.26,3.885,-54.74,17.5,292,0,2163,12695,,28.01
182.92,3.914,-54.66,18.0,292,0,2166,12707,,27.99
182.52,3.938,-54.61,18.0,292,0,2169,12721,,27.97
182.18,3.955,-54.64,18.0,292,0,2172,12733,,27.94
181.83,3.968,-54.63,18.0,291,0,2175,12745,,27.92
181.43,3.974,-54.56,18.0,291,0,2178,12759,,27.92
181.09,3.975,-54.63,18.0,290,0,2181,12771,,27.88
180.73,3.972,-54.65,18.5,289,0,2184,12784,,27.85
180.32,3.967,-54.47,18.5,288,0,2187,12798,,27.85
179.92,3.961,-54.51,18.5,288,0,2190,12813,,27.82
179.56,3.958,-54.46,18.5,288,0,2193,12826,,27.82
179.19,3.961,-54.46,18.5,288,0,2196,12839,,27.81
178.83,3.969,-54.37,18.5,288,0,2199,12851,,27.79
178.45,3.981,-54.27,18.5,287,0,2202,12865,,27.74
178.09,3.993,-54.04,18.5,287,0,2205,12878,,27.70
177.69,4.005,-53.76,18.5,287,0,2208,12893,,27.73
177.31,4.017,-53.65,18.5,286,0,2211,12906,,27.70
176.97,4.034,-53.39,18.5,286,0,2214,12919,,27.70
176.60,4.056,-53.42,19.0,285,0,2217,12932,,27.67
176.24,4.086,-53.36,19.0,285,0,2220,12945,,27.62
175.88,4.116,-53.39,19.0,284,0,2223,12958,,27.63
175.53,4.144,-53.28,19.5,285,0,2226,12971,,27.59
175.19,4.164,-53.25,19.5,285,0,2229,12984,,27.60
174.84,4.179,-53.28,19.5,285,0,2232,12997,,27.63
174.54,4.189,-53.02,20.0,286,0,2235,13008,,27.60
174.19,4.198,-53.04,20.0,287,0,2238,13020,,27.59
173.82,4.212,-53.02,20.0,288,0,2241,13034,,27.54
173.49,4.229,-52.96,20.0,289,0,2244,13046,,27.53
173.14,4.251,-52.74,20.0,289,0,2247,13059,,27.50
172.79,4.273,-52.32,19.5,290,0,2250,13072,,27.46
172.49,4.295,-52.13,19.5,291,0,2253,13084,,27.46
172.12,4.315,-51.91,19.5,291,0,2256,13098,,27.47
171.76,4.328,-52.01,19.5,292,0,2259,13111,,27.46
171.38,4.328,-51.84,19.5,292,0,2262,13126,,27.43
171.05,4.316,-51.76,19.5,293,0,2265,13138,,27.36
170.69,4.288,-51.74,19.5,293,0,2268,13152,,27.39
170.34,4.249,-51.84,19.5,294,0,2271,13165,,27.36
